user_id,group_id,type,time
14720,36883,fit,2023-06-15 23:46:52
14720,36883,fit,2023-06-15 23:46:55
14720,36883,pop,2023-06-15 23:46:57
14720,36883,sim,2023-06-15 23:47:00
14720,36883,sim,2023-06-15 23:49:56
14720,36883,sim,2023-06-15 23:59:56
14720,36883,sim,2023-06-16 00:00:18
14720,36888,pop,2023-06-16 00:00:52
14720,36889,pop,2023-06-16 00:26:19
14720,36916,pop,2023-06-16 09:57:52
14720,36950,pop,2023-06-16 11:06:00
14720,36951,pop,2023-06-16 11:07:57
14720,36951,fit,2023-06-16 11:09:55
14720,36951,pop,2023-06-16 11:11:54
14720,36951,sim,2023-06-16 11:11:57
14720,36951,fit,2023-06-16 11:12:00
14720,36952,pop,2023-06-16 11:14:50
14720,37281,pop,2023-06-18 10:52:38
14720,37281,fit,2023-06-18 10:53:13
14720,37281,pop,2023-06-18 10:53:17
14720,37281,fit,2023-06-18 10:53:18
14720,37281,sim,2023-06-18 10:53:22
14720,37281,fit,2023-06-18 10:53:26
14720,37297,pop,2023-06-18 14:24:40
14720,37297,pop,2023-06-18 14:24:45
14720,37298,pop,2023-06-18 14:25:12
14720,37298,pop,2023-06-18 14:25:24
14720,37299,pop,2023-06-18 14:27:16
14720,37300,pop,2023-06-18 14:28:13
14720,37303,pop,2023-06-18 15:44:29
14720,37304,pop,2023-06-18 15:54:13
14720,37356,pop,2023-06-19 09:07:22
14748,35821,pop,2023-06-14 13:41:02
14748,37199,pop,2023-06-16 15:35:09
14748,37199,fit,2023-06-16 15:37:23
14748,37199,sim,2023-06-16 15:38:19
14748,37199,sim,2023-06-16 15:39:14
14748,37199,sim,2023-06-16 15:39:43
14748,37199,sim,2023-06-16 15:40:03
14748,37199,sim,2023-06-16 15:40:36
14748,37199,sim,2023-06-16 15:47:38
14748,40947,pop,2023-08-06 15:49:21
14748,40948,pop,2023-08-06 16:03:37
14748,40949,pop,2023-08-06 16:04:47
14748,40950,pop,2023-08-06 16:05:40
14750,35823,pop,2023-06-14 13:42:21
14750,36894,pop,2023-06-16 02:30:00
14750,37220,pop,2023-06-16 22:21:04
14750,37221,pop,2023-06-16 22:28:01
14750,37221,fit,2023-06-16 22:30:07
14750,37477,pop,2023-06-19 11:41:14
14750,38110,fit,2023-06-19 14:03:53
14750,38110,fit,2023-06-19 15:55:26
14750,38547,pop,2023-06-19 18:17:55
14750,38550,pop,2023-06-19 18:19:19
14750,38551,pop,2023-06-19 18:19:28
14750,38710,pop,2023-06-19 20:14:01
14750,38711,pop,2023-06-19 20:14:07
14750,39091,pop,2023-06-20 02:38:37
14750,39094,pop,2023-06-20 02:39:57
14750,39102,pop,2023-06-20 02:47:48
14750,39103,pop,2023-06-20 02:47:55
14750,39117,pop,2023-06-20 03:15:17
14750,39118,pop,2023-06-20 03:15:26
14750,39300,pop,2023-06-20 11:00:50
14750,39301,pop,2023-06-20 11:01:06
14750,39343,pop,2023-06-20 11:59:25
14750,39347,pop,2023-06-20 12:02:49
14750,39349,pop,2023-06-20 12:05:37
14750,39366,pop,2023-06-20 12:24:57
14750,39367,pop,2023-06-20 12:25:25
14750,39368,pop,2023-06-20 12:25:55
14750,39369,pop,2023-06-20 12:26:10
14750,39370,pop,2023-06-20 12:26:34
14750,39371,pop,2023-06-20 12:26:41
14750,39372,pop,2023-06-20 12:26:45
14750,39373,pop,2023-06-20 12:26:52
14750,39374,pop,2023-06-20 12:26:58
14750,39375,pop,2023-06-20 12:27:05
14750,39376,pop,2023-06-20 12:27:19
14750,39390,pop,2023-06-20 12:49:52
14750,39394,pop,2023-06-20 12:54:37
14750,39395,pop,2023-06-20 12:54:42
14750,39397,pop,2023-06-20 12:56:20
14750,39398,pop,2023-06-20 12:56:28
14750,39399,pop,2023-06-20 12:56:52
14750,39430,pop,2023-06-20 13:21:00
14750,39442,pop,2023-06-20 13:43:02
